"Ano","Região","PIB-Milhões de Reais"
"2002","Brasil","1488787"
"2003","Brasil","1717950"
"2004","Brasil","1957751"
"2005","Brasil","2170585"
"2006","Brasil","2409450"
"2007","Brasil","2720263"
"2008","Brasil","3109803"
"2009","Brasil","3333039"
"2010","Brasil","3885847"
"2011","Brasil","4376382"
"2012","Brasil","4814760"
"2013","Brasil","5331619"
"2014","Brasil","5778953"
"2015","Brasil","5995787"
"2016","Brasil","6269328"
"2017","Brasil","6592743"
"2018","Brasil","6996861"
"2019","Brasil","7394332"
"2020","Brasil","7609597"
"2021","Brasil","9012142"
"2022","Brasil","10079677"
"2023","Brasil","10943345"
"2024","Brasil","11744739"
