"Tabela 5932 - Taxa de variação do índice de volume trimestral"
"Variável - Taxa trimestral (em relação ao mesmo período do ano anterior) (%)"
"Trimestre","","Setores e subsetores",""
"1º trimestre 2002","Brasil","Agropecuária - total","4.7"
"1º trimestre 2002","Brasil","Indústria - total","-2.3"
"1º trimestre 2002","Brasil","Indústrias extrativas","13.9"
"1º trimestre 2002","Brasil","Indústrias de transformação","-2.3"
"1º trimestre 2002","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-9.8"
"1º trimestre 2002","Brasil","Construção","-2.5"
"1º trimestre 2002","Brasil","Serviços - total","2.9"
"1º trimestre 2002","Brasil","Comércio","-4.2"
"1º trimestre 2002","Brasil","Transporte, armazenagem e correio","4.6"
"1º trimestre 2002","Brasil","Informação e comunicação","7.0"
"1º trimestre 2002","Brasil","Atividades financeiras, de seguros e serviços relacionados","4.4"
"1º trimestre 2002","Brasil","Atividades imobiliárias","3.0"
"1º trimestre 2002","Brasil","Outras atividades de serviços","4.4"
"1º trimestre 2002","Brasil","Administração, saúde e educação públicas e seguridade social","3.2"
"1º trimestre 2002","Brasil","Valor adicionado a preços básicos","1.6"
"1º trimestre 2002","Brasil","Impostos líquidos sobre produtos","-6.2"
"1º trimestre 2002","Brasil","PIB a preços de mercado","0.5"
"2º trimestre 2002","Brasil","Agropecuária - total","7.3"
"2º trimestre 2002","Brasil","Indústria - total","2.3"
"2º trimestre 2002","Brasil","Indústrias extrativas","20.8"
"2º trimestre 2002","Brasil","Indústrias de transformação","0.7"
"2º trimestre 2002","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.4"
"2º trimestre 2002","Brasil","Construção","2.8"
"2º trimestre 2002","Brasil","Serviços - total","2.5"
"2º trimestre 2002","Brasil","Comércio","-3.1"
"2º trimestre 2002","Brasil","Transporte, armazenagem e correio","4.4"
"2º trimestre 2002","Brasil","Informação e comunicação","4.2"
