"Mês","Região","Variável","Indústria geral","Indústrias extrativas","Indústrias de transformação"
"janeiro 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","84.35985","72.33534","85.14812"
"janeiro 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","90.77187","74.88232","91.81563"
"janeiro 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.0","0.0","0.0"
"janeiro 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"janeiro 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"janeiro 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"fevereiro 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","81.23882","68.27858","82.08498"
"fevereiro 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.69358","76.72632","94.27677"
"fevereiro 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","2.1","2.5","2.7"
"fevereiro 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"fevereiro 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"fevereiro 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"março 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","90.19468","78.50973","90.96360"
"março 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.44416","77.81006","93.29465"
"março 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.3","1.4","-1.0"
"março 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"março 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"março 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"abril 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","92.75477","77.05576","93.77772"
"abril 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.61341","77.90764","93.51261"
"abril 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.2","0.1","0.2"
"abril 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"abril 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"abril 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"maio 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","93.74586","79.04382","94.70631"
"maio 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.58518","76.42964","93.42158"
"maio 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.0","-1.9","-0.1"
"maio 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
"maio 2002","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior)","...","...","..."
"maio 2002","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"junho 2002","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","90.30861","78.72606","91.07112"
"junho 2002","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.82840","78.62340","93.77385"
"junho 2002","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.3","2.9","0.4"
"junho 2002","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12)","...","...","..."
